Metric,Value
Total Ingredients,9864
Clustered Ingredients,1685
Noise Ingredients,8179
Non-noise Clusters,41
Clusters (Excellent),0
Clusters (Good),1
Clusters (Fair),6
Clusters (Poor),34
Median Cluster Size,16
Mean Cluster Size,26.0
Largest Cluster (non-noise),184
Smallest Cluster (non-noise),10
